transaction_id,branch_id,day_of_week,hour_of_day,total_treatment,total_product,discount_value,vat,grand_total,payment_method_id,customer_visits,is_high_value
1,1,1,10,1200.00,350.00,0.00,184.00,1734.00,1,3,1
2,2,2,14,850.00,200.00,50.00,120.00,1120.00,2,1,0
3,1,3,11,2500.00,600.00,250.00,348.00,3198.00,1,7,1
4,3,4,16,450.00,150.00,0.00,72.00,672.00,3,1,0
5,2,5,9,1800.00,400.00,180.00,244.80,2264.80,2,5,1
6,1,6,13,3200.00,800.00,320.00,435.20,4115.20,1,12,1
7,3,7,15,600.00,100.00,0.00,84.00,784.00,4,2,0
8,2,1,10,1100.00,300.00,0.00,168.00,1568.00,1,4,1
9,1,2,12,750.00,250.00,75.00,115.00,1040.00,3,2,0
10,3,3,17,2200.00,500.00,220.00,299.20,2779.20,2,6,1
11,1,4,11,400.00,100.00,0.00,60.00,560.00,1,1,0
12,2,5,14,1600.00,450.00,160.00,228.80,2118.80,1,8,1
13,3,6,16,900.00,200.00,0.00,132.00,1232.00,2,3,0
14,1,7,10,2800.00,700.00,280.00,379.20,3599.20,1,10,1
15,2,1,13,500.00,150.00,0.00,78.00,728.00,3,1,0
16,3,2,15,1400.00,350.00,140.00,201.60,1811.60,2,5,1
17,1,3,9,650.00,200.00,65.00,102.60,887.60,4,2,0
18,2,4,11,3500.00,900.00,350.00,484.00,4534.00,1,15,1
19,3,5,14,800.00,250.00,0.00,126.00,1176.00,1,3,0
20,1,6,16,1900.00,500.00,190.00,268.00,2478.00,2,7,1
21,2,7,12,300.00,100.00,0.00,48.00,448.00,3,1,0
22,3,1,10,2100.00,600.00,210.00,299.60,2790.60,1,9,1
23,1,2,13,700.00,200.00,0.00,108.00,1008.00,2,2,0
24,2,3,15,1700.00,400.00,170.00,235.20,2165.20,1,6,1
25,3,4,11,550.00,150.00,0.00,84.00,784.00,4,2,0
26,1,5,14,4000.00,1000.00,400.00,552.00,5152.00,1,18,1
27,2,6,16,950.00,300.00,95.00,153.60,1408.60,3,3,0
28,3,7,10,1300.00,350.00,130.00,182.40,1702.40,2,5,1
29,1,1,12,450.00,100.00,0.00,66.00,616.00,1,1,0
30,2,2,14,2400.00,650.00,240.00,336.00,3150.00,1,11,1
31,3,3,9,600.00,200.00,0.00,96.00,896.00,2,2,0
32,1,4,11,1500.00,400.00,150.00,220.00,1970.00,1,6,1
33,2,5,16,850.00,250.00,85.00,135.20,1250.20,3,3,0
34,3,6,13,2700.00,700.00,270.00,379.20,3539.20,1,10,1
35,1,7,15,400.00,100.00,0.00,60.00,560.00,4,1,0
36,2,1,10,1800.00,500.00,180.00,256.00,2376.00,2,7,1
37,3,2,12,700.00,200.00,0.00,108.00,1008.00,1,2,0
38,1,3,14,3100.00,800.00,310.00,431.20,3921.20,1,13,1
39,2,4,11,500.00,150.00,0.00,78.00,728.00,3,1,0
40,3,5,16,1600.00,450.00,160.00,228.80,2118.80,2,6,1
41,1,6,10,900.00,300.00,90.00,147.20,1357.20,1,3,0
42,2,7,13,2300.00,600.00,230.00,321.60,2991.60,1,9,1
43,3,1,15,650.00,200.00,0.00,102.00,952.00,2,2,0
44,1,2,11,1400.00,350.00,140.00,196.80,1806.80,1,5,1
45,2,3,14,450.00,100.00,0.00,66.00,616.00,4,1,0
46,3,4,16,3800.00,950.00,380.00,523.20,4893.20,1,16,1
47,1,5,10,750.00,250.00,75.00,115.00,1040.00,3,2,0
48,2,6,12,2000.00,550.00,200.00,279.20,2629.20,1,8,1
49,3,7,14,550.00,150.00,0.00,84.00,784.00,2,2,0
50,1,1,11,1700.00,450.00,170.00,235.20,2215.20,1,7,1
51,2,2,16,400.00,100.00,0.00,60.00,560.00,1,1,0
52,3,3,10,2600.00,700.00,260.00,364.80,3404.80,2,10,1
53,1,4,13,800.00,250.00,80.00,127.20,1177.20,3,3,0
54,2,5,15,1200.00,300.00,120.00,163.20,1543.20,1,4,1
55,3,6,11,350.00,100.00,0.00,54.00,504.00,4,1,0
56,1,7,14,3300.00,850.00,330.00,457.60,4277.60,1,14,1
57,2,1,10,700.00,200.00,0.00,108.00,1008.00,2,2,0
58,3,2,12,1900.00,500.00,190.00,264.00,2474.00,1,7,1
59,1,3,16,600.00,200.00,60.00,100.80,940.80,3,2,0
60,2,4,11,2200.00,600.00,220.00,307.20,2887.20,1,9,1
61,3,5,13,500.00,150.00,0.00,78.00,728.00,2,1,0
62,1,6,15,1500.00,400.00,150.00,220.00,1970.00,1,6,1
63,2,7,10,750.00,200.00,0.00,114.00,1064.00,1,2,0
64,3,1,12,4200.00,1050.00,420.00,579.20,5409.20,1,19,1
65,1,2,14,850.00,250.00,85.00,135.20,1250.20,3,3,0
66,2,3,16,1800.00,480.00,180.00,251.52,2349.52,1,7,1
67,3,4,11,450.00,120.00,0.00,68.40,638.40,2,1,0
68,1,5,13,2900.00,750.00,290.00,405.20,3765.20,1,12,1
69,2,6,10,600.00,180.00,0.00,92.64,872.64,4,2,0
70,3,7,15,1600.00,420.00,160.00,225.92,2085.92,2,6,1
71,1,1,12,400.00,120.00,0.00,62.40,582.40,1,1,0
72,2,2,14,2100.00,560.00,210.00,293.76,2743.76,1,8,1
73,3,3,16,700.00,200.00,70.00,110.40,1030.40,3,2,0
74,1,4,11,3400.00,880.00,340.00,470.08,4410.08,1,15,1
75,2,5,10,500.00,140.00,0.00,76.32,716.32,2,1,0
